nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"EIDOS COWORKING","CL VALPORTILLO I (DE) 5 - OFI. 2A3","28108","POLIGONO INDUSTRIAL","914126754 / 638008634","NO DISPONIBLE","david@eidoscoworking.com","www.eidoscoworking.com","DAVID ROMERO MORA","","SERVICIOS A LA PROPIA EMPRESA. COWORKING","CENTRO COWORKING, ALQUILER DE ESPACIOS DE TRABAJO Y SERVICIOS VARIADOS PARA EMPRESAS. GESTION INMOBILIARIA",40.53033366,-3.65403627
"EL ESTUDIANTE","CR BARAJAS (DE) - M 12 - SALIDA 9, KM. 4","28100","CASCO URBANO","916531673 / 677212074","NO DISPONIBLE","gonzalo@clubelestudiante.com","www.clubelestudiante.com","SANTIAGO VICENTE IZQUIERDO","","GIMNASIOS, DANZA Y OTRAS INSTALACIONES DEPORTIVAS","ARRENDAMIENTO DE PISTAS DEPORTIVAS Y DE PADDLE. RESTAURANTE",40.53447055,-3.62019500
"EL GALPON DE JOSE LUIS","CL FRANCISCO GERVAS (DE) 16","28108","POLIGONO INDUSTRIAL","914844305/00 administración","NO DISPONIBLE","atencion.cliente@joseluis.es","www.joseluis.es","JOSE LUIS RUIZ","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","RESTAURANTE-BAR",40.53322358,-3.65198469
"ELANCO SPAIN","AV ESPAÑA (DE) 30","28100","POLIGONO INDUSTRIAL","916635000","NO DISPONIBLE","es_recursoshumanos@lilly.com","www.lilly.com","ABEL PEREZ","","MAYORISTAS","FCON. Y VTA. MEDICAMENTOS DE USO VETERINARIO",40.54642397,-3.64171512
"ELDISA","AV VALDELAPARRA (DE) 33","28100","POLIGONO INDUSTRIAL","916611534","NO DISPONIBLE","jaguado@eldisa.es","NO DISPONIBLE","IÑIGO AGUADO","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","DISEÑO ELECTRONICO",40.53903296,-3.64853432
"ELECTRICIDAD DEL AUTOMOVIL JUAN","CL VALGRANDE (DE) 27","28108","POLIGONO INDUSTRIAL","696848840","NO DISPONIBLE","electricidaddelautomoviljuan@gmail.com","NO DISPONIBLE","JUAN FCO CRESPO","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","REPARACION AUTOMOVILES ELECTRICIDAD, MAQUINARIA DE OBRAS PUBLICAS (CAMIONES, MAQUINAS EXCAVADORAS)",40.53846280,-3.65428279
"ELECTRONICA OLFER","AV INDUSTRIA (DE LA) 6 - NAVES 20 Y 21","28108","POLIGONO INDUSTRIAL","914840850","914840851","emohedano@olfer.com","www.olfer.com","EUGENIO MOHEDANO","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","VENTA DE MATERIAL ELECTRÓNICO",40.53525212,-3.64306522
"ELECTRONICA SUIZA","AV INDUSTRIA (DE LA) 4 EDF. 0, BAJO A","28108","POLIGONO INDUSTRIAL","912686631","NO DISPONIBLE","elsuiz@elsu.com","www.elsu.com","RAFAEL MARTINEZ DE VELASCO","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","CIRCUITOS IMPRESOS",40.53543008,-3.64232167
"EMBAPALET 2010","CL VALGRANDE (DE) 18 - B","28108","POLIGONO INDUSTRIAL","916611263","914902199","compraventa@lospalets.com","www.lospalets.com","AMAR HAMAYE","","MEDIOAMBIENTE. RECUPERACION Y RECICLADO","ALMACÉN DE MADERA",40.53905172,-3.65110634
"EMELAR ARTES GRÁFICAS","CR FUENCARRAL (DE) 56 3º PLANTA, OFICINA 83","28108","POLIGONO INDUSTRIAL","616543647 / 916294122","NO DISPONIBLE","jose@emelar.es","http://emelar.es","JOSE MARTIN","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","IMPRENTA",40.51888227,-3.65470622
"EMERSON PROCESS MANAGEMENT","CL FRANCISCO GERVAS (DE) 1 EDF. TRIAS","28108","POLIGONO INDUSTRIAL","913586000","913589145","info.es@emerson.com","www.emersonprocess.com","CATIA SEGADO","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","EQUIPOS Y TECNOLOGIAS DE AUTOMATIZACION DE PROCESOS. INSTRUMENTOS DE MEDIDA ANALITICA. EQUIPOS DE CONTROL FINAL. SISTEMAS Y SOFTWARE",40.53042958,-3.65080103
"ENCUADERNACION TEMA","AV INDUSTRIA (DE LA) 48 - NAVE INTERIOR","28108","POLIGONO INDUSTRIAL","916619062","916621474","encuadernaciontema@hotmail.com","www.encuadernaciontema.net","JOSE FERNANDEZ ALVAREZ","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ENCUADERNACION Y MANIPULADOS DE ARTES GRAFICAS",40.53384870,-3.65561982
"ENELDO","CL GRANJA (DE LA) 38 - 40","28108","POLIGONO INDUSTRIAL","914905236","916625644","diego.echegaray@eneldo.es","www.eneldo.es","DIEGO GOMEZ PINEDA","","SUMINISTROS PARA HOSTELERIA. SERVICIOS DE CATERING","CATERING Y EVENTOS",40.53168386,-3.65666022
"ENELDO CATERING","AV DOCTOR SEVERO OCHOA (DEL) 37 LOCAL 4F","28100","PARQUE EMP. CASABLANCA","917376525","NO DISPONIBLE","beatriz.villaescusa@eneldo.es","NO DISPONIBLE","BEATRIZ VILLAESCUSA MANRIQUE","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","CATERING",40.54136786,-3.65322389
"ENERAGRO","CL ARAGONESES (DE LOS) 2","28108","POLIGONO INDUSTRIAL","916615602","NO DISPONIBLE","salvador.e@eneragro.com","www.eneragro.com","RAFAEL SANTOS / SALVADOR EXPOSITO","","ESTUDIOS DE DELINEACION, ARQUITECTURA, LICENCIAS DE APERTURA, URBANISMO Y DISEÑO. INGENIERIAS, PROYECTOS","INGENIERIAS",40.52357421,-3.66093000
"ENSAYOS JENDRIX","CL GRANJA (DE LA) 60","28108","POLIGONO INDUSTRIAL","914905372  /  696451456","NO DISPONIBLE","jefes@ensayosjendrix.es","NO DISPONIBLE","JORDI GALAN TORREGROSA","","DISCOGRAFIA E INSTRUMENTOS MUSICALES. SALAS DE ENSAYO Y AUDICION","ESPACIOS PARA ENSAYOS MUSICALES, CONCIETOS, EVENTOS, FIESTAS, EXPOSICIONES (CAPACIDAD 100 PERSONAS)",40.53182102,-3.65637777
"ENTERPRISE, S.A.","AV VALDELAPARRA (DE) 15","28100","POLIGONO INDUSTRIAL","916610375 / 916613689","NO DISPONIBLE","enterpriserentacar-e5cf@ehi.com","www.enterprise.es","NO DISPONIBLE","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","RENTING",40.53841832,-3.64572168
"ENVIRA SOSTENIBLE, S.A","CL GRANJA (DE LA) 1 - EDIFICIO A 1ºB","28108","POLIGONO INDUSTRIAL","916572250","916572255","madrid@envira.es","www.envira.es","ROSA SALAMANQUES","","MEDIOAMBIENTE. RECUPERACION Y RECICLADO","CONSULTORIA SERVICIOS DE MEDIO AMBIENTE",40.52614137,-3.66002015
"ENYSE","CL SEPULVEDA (DE) 6","28108","POLIGONO INDUSTRIAL","914901383 / 914901383","916619296","enyse@sice.com","www.enyse.es","ANGEL GUERRA","","OBRAS PUBLICAS. SEÑALIZACION DE CARRETERAS Y FERROVIARIAS","INSTALACIONES Y MONTAJES ELECTRICOS FERROVIARIOS",40.52674742,-3.65561731
"EPES ARTES GRAFICAS","AV VALDELAPARRA (DE) 27 - NAVE 18","28108","POLIGONO INDUSTRIAL","916611159","916613881","epes@epesag.com","www.graficasepes.com","JUAN ENRIQUE ENCABO","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ARTES GRAFICAS",40.53889230,-3.64696818
"ERESA AUTOCLIMA","CL VALGRANDE (DE) 29 -C","28108","POLIGONO INDUSTRIAL","916613551","NO DISPONIBLE","alcobendas@gsautobat.com","www.gsautobat.com","CESAR GUTIERREZ","","REPUESTOS Y ACCESORIOS  DE VEHICULOS","RECAMBIOS AUTOMOVILES",40.53898396,-3.65466685
"ERREPILA, DISEÑO PARA VALIENTES","AV MIGUEL DE CERVANTES (DE) 19 -PORTAL 1, 1º C","28100","CASCO URBANO","657132776","NO DISPONIBLE","hola@errepila.com","www.errepila.com","YOLANDA RODRIGUEZ PILA","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","BRANDING E INNOVACION",40.55431064,-3.65034041
"ERV SEGUROS DE VIAJE","AV VEGA (DE LA) 24","28100","ARROYO DE LA VEGA","902103328 / 913441737","NO DISPONIBLE","rr.hh@erv.es","www.erv.es","ANA DUEÑAS","","SEGUROS GENERALES, MUTUAS DE ACCIDENTES","SEGUROS GENERALES, MUTUA DE ACCIDENTES, SEGUROS DE VIAJE",40.52012126,-3.64420436
"ESI GROUP HISPANIA","CL FRANCISCA DELGADO (DE) 11 - PLANTA 3º","28108","ARROYO DE LA VEGA","914840256","914840255","mar@esi-group.com","www.esi-group.com","EMILIO MENCIA DE MIGUEL","","SERVICIOS A LA PROPIA EMPRESA. COWORKING","OFICINA COMERCIAL Y TECNICA",40.53322371,-3.63048990
"ESPACK","CL ARAGONESES (DE LOS) 2 ACCESO 7","28108","POLIGONO INDUSTRIAL","912686907","NO DISPONIBLE","fatima.fuentes@espack.es","www.espack.es","FATIMA FUENTES","","MANIPULACION Y DISTRIBUCION DE MADERA, PLASTICO, VIDRIO, PAPEL Y CARTON","DISTRIBUCION DE PACKAGING INDUSTRIAL",40.52357421,-3.66093000
"ESPAELLA","AV VALDELAPARRA (DE) 59 ACCESO A","28100","POLIGONO INDUSTRIAL","911996058","NO DISPONIBLE","info@espaella.es","www.espaella.es","DIANA DE LA TORRE","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","ARROCES DE 5ª GAMA",40.53951204,-3.65226040
"ESPINOSA S.A. DE SUMINISTROS","AV DOCTOR SEVERO OCHOA (DEL) 33 - NAVE 3-C","28100","PARQUE EMP. CASABLANCA","914841180","914841181","espinosasum@espinosasum.es","www.espinosasum.es","HUMBERTO LAZARO","","FABRICACION, DISTRIBUCION Y ALQUILER DE SUMINISTROS A EMPRESAS","MAQUINAS SUMINISTROS MATERIAL FERRETERIA",40.54143544,-3.65249238
"EURITECSA","CL CALABOZOS (DE LOS) 6","28108","POLIGONO INDUSTRIAL","916614500","916614810","euritecsa@euritecsa.es","www.euritecsa.es","JESUS ORIA FERNANDEZ","","CLIMATIZACION: CALEFACCION - AIRE ACONDICIONADO Y CHIMENEAS","VENTA MAYOR DE AIRE ACONDICIONADO, CALEFACCION Y VENTILACION",40.53046257,-3.65237335
"EURO TRASTEROS","CL ARAGONESES (DE LOS) 7","28108","POLIGONO INDUSTRIAL","915064690","916618527","finanzas@eurotrasteros.com","www.eurotrasteros.es","JUAN CARLOS HERRERO SAINZ","","LOGISTICA Y ALMACENAJE","ALQUILER DE TRASTEROS",40.52367889,-3.66045313
"EUROACCESSORIOS ARRESE","AV DOCTOR SEVERO OCHOA (DEL) 43 - NAVE H","28100","PARQUE EMP. CASABLANCA","914903210","NO DISPONIBLE","earrese@earrese.es","www.earrese.es","JOSE LUIS GONZALEZ","","REPUESTOS Y ACCESORIOS  DE VEHICULOS","ACCESORIOS DEL AUTOMOVIL",40.54136708,-3.65367784
"EUROCOM BROADCAST","AV INDUSTRIA (DE LA) 8 - PAE NEISA AVANCE I","28108","POLIGONO INDUSTRIAL","914903650","916620329","info@eurocom-grupo.com","www.eurocom-grupo.com","FRANCISCO JOSE MENCHEN / MARIA DI RIENZO","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","TELECOMUNICACIONES",40.53505709,-3.64384932
"EURO-HERRAMIENTAS","CL GRANJA (DE LA) 98","28108","POLIGONO INDUSTRIAL","913500816","NO DISPONIBLE","euroherramientas@euroherramientas.com","www.euroherramientas.com","SARA UBEDA TIKKANEN","","FABRICACION, DISTRIBUCION Y ALQUILER DE SUMINISTROS A EMPRESAS","DISTRIBUIDORES DE ACCESORIOS DE APRIETE, ESPECIALISTAS SECTOR DEL AUTOMOVIL",40.53548318,-3.65645252
"EUROMASTER","CR FUENCARRAL (DE) - KM. 14,500","28108","POLIGONO INDUSTRIAL","913791200/916616587","916616587","pdv069@euromaster.com","www.euromaster.com","PILAR DIAZ","","REPUESTOS Y ACCESORIOS  DE VEHICULOS","VENTA DE  NEUMATICOS Y ACCESORIOS DEL AUTOMOVIL. MECANICA RAPIDA",40.51888227,-3.65470622
"EURONET","CL CANTABRIA (DE) 2 PLANTA 2, EDF. AMURA","28100","POLIGONO INDUSTRIAL","917613760","NO DISPONIBLE","NO DISPONIBLE","www.riafinancial.com","JUAN BASURTO","","LOCUTORIOS","ENVIO DINERO, PAGO A TRAVES DE TARJETA",,
"EUROPA&C","CR FUENCARRAL (DE) 98","28108","POLIGONO INDUSTRIAL","914902160","979761413","rrodriguez@europacgroup.com","www.europacgroup.com","RUBEN RODRIGUEZ","","MANIPULACION Y DISTRIBUCION DE MADERA, PLASTICO, VIDRIO, PAPEL Y CARTON","FABRICACION Y COMERCIALIZACION  DE PAPEL Y CARTON, EMBALAJE, RECICLAJE, EXPLOTACION DE FINCAS FORESTALES Y GENERACION DE ENERGIA ELECTRICA",40.51888227,-3.65470622
"EUROPCAR","AV VALDELAPARRA (DE) 25 - NAVE INDUSTRIAL","28108","POLIGONO INDUSTRIAL","913434503 / 917226303","916238262","es_customerservice@europcar.com","www.europcar.es","NO DISPONIBLE","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","ALQUILER DE COCHES",40.53870601,-3.64681192
"EUROTHERM","CL VALGRANDE (DE) 6","28108","POLIGONO INDUSTRIAL","916616001","NO DISPONIBLE","ventas.eurotherm.es@schneider-electric.com","www.eurotherm.com","MARIA JOSE RIOS","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","AUTOMATIZACIÓN INDUSTRIAL",40.53639748,-3.64916979
"EVEAGENCY","CL CALENDULA (DE LA) 93 - EDIFICIO J, 2º PLANTA","28109","MINI-PARC","630571213","NO DISPONIBLE","fernando.iglesias@eveagency.com","NO DISPONIBLE","FERNANDO IGLESIAS GARCIA","","INMOBILIARIAS Y CONSTRUCTORAS","LA PROMOCION, CONSTRUCCION, COMPRA, VENTA, ARRENDAMIENTO, EXPLOTACION POR CUALQUIER TITULO O MODALIDAD DE BIENES INMUEBLES",40.52774217,-3.64515090
"EVIAR PROJECT","CR FUENCARRAL (DE) 56 OFICINA 54","28108","POLIGONO INDUSTRIAL","917569293","NO DISPONIBLE","info@eviarproject.com","www.eviarproject.com","ENRIQUE VIGO","","CONSTRUCCION. CONSERVACION DE EDIFICIOS. REFORMAS (ALBAÑILERIA,  PINTURA, PULIDOS, SOLADOS, ALICATADOS)","CONSTRUCTORA",40.51888227,-3.65470622
"EXCAVACIONES Y DERRIBOS LOPEZ, S.L.","CL VALGRANDE (DE) 25 - NAVE G","28108","POLIGONO INDUSTRIAL","656374102 / 916522154","916549367","excavacionesyderriboslopez@hotmail.es","www.excavacionesyderriboslopez.es","Mª JOSE LOPEZ GUZMAN","","CONSTRUCCION. CONSERVACION DE EDIFICIOS. REFORMAS (ALBAÑILERIA,  PINTURA, PULIDOS, SOLADOS, ALICATADOS)","MOVIMIENTOS DE TIERRA, OBRA CIVIL",40.53798288,-3.65327697
"EXCON CONTROLLING ESPAÑA","CL VALPORTILLO I (DE) 5 - OFICINA 2A1","28108","POLIGONO INDUSTRIAL","902105802","NO DISPONIBLE","NO DISPONIBLE","www.excon.com","RAUL CERVERA","","CAJAS DE AHORRO, BANCA Y SERVICIOS FINANCIEROS","GESTION DE RIESGOS",40.53033366,-3.65403627
"EXPONEGOCIO.NET","AV DOCTOR SEVERO OCHOA (DEL) 41 - LOCAL E","28100","PARQUE EMP. CASABLANCA","913091709","NO DISPONIBLE","info@exponegocio.net","www.exponegocio.net","DORA","","REGALOS, BAZAR Y BISUTERIA","REGALOS, PROMOCIONES EMPRESARIALES",40.54136708,-3.65367784
"EXTEL COMUNICACIONES (ADECCO)","AV DOCTOR SEVERO OCHOA (DEL) 55","28100","PARQUE EMP. CASABLANCA","914902832","NO DISPONIBLE","rafael.moyano@adecco.com","www.adecco.es","JERONIMO LOPEZ","","GESTION DE PERSONAL. TRABAJO TEMPORAL","SERVICIOS A EMPRESAS, PARTICULARES Y ORGANISMOS PUBLICOS A TRAVES DE CONTRATAS",40.54041992,-3.65466504
"F. ABRIL E HIJOS, S.L.","CL GRANJA (DE LA) 86 - NAVE 10-11","28108","POLIGONO INDUSTRIAL","916623598","916623598","patatasabril@patatasabril.com","www.patatasabril.com","JAVIER Y MIGUEL ANGEL ABRIL","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","ALMACEN DE PATATAS, CEBOLLAS Y AJOS",40.53538748,-3.65671522
"FABRICA DE TOLDOS","CL VALGRANDE (DE) 27 - NAVE 9","28108","POLIGONO INDUSTRIAL","916624634","NO DISPONIBLE","contacto@fabrica-de-toldos.es","www.fabrica-de-toldos.es","VANESA","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","ALMACEN DE TOLDOS",40.53876044,-3.65397459
"FARMALIDER","CL GRANJA (DE LA) 1 3º","28108","POLIGONO INDUSTRIAL","916612335","916610442","farmalider@farmalider.com","www.farmalider.es","ISABEL GONZALEZ DELGADO","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","INVESTIGACION, DESARROLLO Y FABRICACION DE ESPECIALIDADES FARMACEUTICAS.",40.52614137,-3.66002015
"FARO DE LUARCA","AV INDUSTRIA (DE LA) 13 - LOCAL A","28108","POLIGONO INDUSTRIAL","916614319","NO DISPONIBLE","rosabarrero@gmail.com","www.farodeluarca.es","Mª SOLEDAD BARRERO ANTON","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","RESTAURANTE",40.53516074,-3.64723116
"FERRETERIA DE FRUTOS","AV DOCTOR SEVERO OCHOA (DEL) 40","28100","PARQUE EMP. CASABLANCA","916582507/916580823","916581413","info@ferreteriadefrutos.com","www.ferreteriafrutos.com","DOLORES DE FRUTOS","","FERRETERIAS. MENAJE","FERRETERIA",40.54091291,-3.65506360
"FERRETERIA INDUSTRIAL ALCOBENDAS","CL GRANJA (DE LA) 34","28108","POLIGONO INDUSTRIAL","916617077","916617351","feralcobendas@yahoo.es","NO DISPONIBLE","MANUEL CRUZ CONTRERAS","","FERRETERIAS. MENAJE","SUMINISTROS INDUSTRIALES",40.53169061,-3.65688979
"FERRETERIA SPEED FER, S.L.","AV INDUSTRIA (DE LA) 34","28108","POLIGONO INDUSTRIAL","916626682","916626588","info@speedfer.com","NO DISPONIBLE","GERMAN MATESANZ GARCIA","","FERRETERIAS. MENAJE","FERRETERIA Y SUMINISTROS EN GENERAL",40.53410498,-3.65254259
"FERROVID, S.L.","CL VALGRANDE (DE) 18","28108","POLIGONO INDUSTRIAL","916614997","916625213","hierrosferrovid@yahoo.es","NO DISPONIBLE","BENITO RODRIGUEZ GOMEZ","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","ALMACENES DE HIERRO",40.53905172,-3.65110634
"FERTE","CL SAN BERNARDO (DE) 1","28108","POLIGONO INDUSTRIAL","916617520","NO DISPONIBLE","talleres_ferte@telefonica.net","NO DISPONIBLE","JUAN CARLOS","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","CARROCERIA, CHAPA Y PINTURA",40.53568066,-3.64711395
"FEU VERT ALCOBENDAS","AV INDUSTRIA (DE LA) 10","28108","POLIGONO INDUSTRIAL","916629206","NO DISPONIBLE","gerente087@feuvert.es","www.feuvert,es","HECTOR GIL GARCIA","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","MECANICA DEL AUTOMOVIL",40.53505709,-3.64384932
"FILE 420","CL VEREDA DEL VALLE (DE LA) 4","28109","CASCO URBANO","625096933","NO DISPONIBLE","lolatapi25@gmail.com","NO DISPONIBLE","MARIA DOLORES MARTINEZ CAMAÑES","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","EDICCION REVISTA FILE 420",40.51908254,-3.64844213
"FIRMAS DECOR","AV ERMITA (DE LA) 2 PORTAL J 3ºA","28100","ARROYO DE LA VEGA","655551021","NO DISPONIBLE","firmasdecor@gmail.com","NO DISPONIBLE","JESUS HERNANDEZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","AGENCIA COMERCIAL",40.53624036,-3.63671457
"FITENI","CL ANABEL SEGURA (DE) 10 PLANTA 4","28100","ARROYO DE LA VEGA","915103030","915195307","av@fiteni.es","www.fiteni.es","ALFONSO VAZQUEZ VAZQUEZ","","INMOBILIARIAS Y CONSTRUCTORAS","PROMOTORA INMOBILIARIA",40.53420975,-3.62762211
"FLAMING START NEBULA","CL TORRES QUEVEDO (DE) 15","28108","POLIGONO INDUSTRIAL","916616373","NO DISPONIBLE","operativa@flamingsn.com","www.umano.es","JUAN ANTONIO CONTRERAS","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","MENSAJERIA, ALMACENAJE, CLASIFICACION DE DOCUMENTOS, SEGURIDAD Y LIMPIEZA",40.53501491,-3.65418471
"FLASH STUDIO","CL GRANJA (DE LA) 56","28108","POLIGONO INDUSTRIAL","916615126","916619044","info@platopequeno.com","www.platopequeño.com","JORGE MORENO","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","ALQUILER DE PLATO PARA PUBLICIDAD",40.53181361,-3.65612620
"FLIR NETWORKED SYSTEMS","AV BRUSELAS (DE) 15 - 3ªPLANTA","28108","ARROYO DE LA VEGA","914904060","NO DISPONIBLE","ns.admin@flir.com","www.flir.com","ARSENIO VILALLONGA","","INFORMATICA","INGENIERIA DE SISTEMAS Y TECNOLOGIAS DE LA INFORMACION",40.53110330,-3.63476980
"FLUKE Y FLUKE NETWORKS","CL VALGRANDE (DE) 8 - B 1 A POLIDONO INDUSTRAL VALPORTILLO","28108","POLIGONO INDUSTRIAL","918060550","918060559","info.es@fluke.com","www.fluke.es www.flukenetworks.com","YOLANDA CUETO","","MAYORISTAS","VENTA AL POR MAYOR DE INSTRUMENTACION MEDIDA",40.53707501,-3.65013897
"FORD BANK","CL CALENDULA (DE LA) 3","28109","CASCO URBANO","917145317","917145455","NO DISPONIBLE","www.ford.es","NO DISPONIBLE","","CAJAS DE AHORRO, BANCA Y SERVICIOS FINANCIEROS","FINANCIACION DE AUTOMOVILES. MARCA MAZDA Y JAGUAR",40.52425303,-3.64767280
"FORD ESPAÑA","CL CALENDULA (DE LA) 13 MINIPARC IV","28109","CASCO URBANO","917145100","NO DISPONIBLE","NO DISPONIBLE","www.ford.es","LAURA GONZALEZ","","VENTA DE VEHICULOS A MOTOR. CONCESIONARIO OFICIAL","VENTA DE VEHICULOS A MOTOR",40.52516229,-3.64722834
"FORESTAL GARDEN","CL SEPULVEDA (DE) 15","28108","POLIGONO INDUSTRIAL","916623357","916625495","oregon@forestalgarden.com","www.stalgarden.com","MARIA VICTORIA ALONSO","","FABRICACION, DISTRIBUCION Y ALQUILER DE SUMINISTROS A EMPRESAS","DISTRIBUCION DE MAQUINARIA AGRICOLA Y FORESTAL",40.52881372,-3.65337064
"FRANCOBORDO","CL SAN RAFAEL (DE) 8","28108","POLIGONO INDUSTRIAL","916528858","NO DISPONIBLE","info@francobordo.com","www.francobordo.com","FRANCISCO RODRIGUEZ","","OTROS","VENTA DE ARTICULOS NAUTICOS AL PUBLICO EN GENERAL",40.52525120,-3.65956935
"FRANCOMAR INVESTMENTS","AV BRUSELAS (DE) 26","28100","ARROYO DE LA VEGA","914904982","NO DISPONIBLE","jesusf2@codere.com","NO DISPONIBLE","JESUS FORNIELES","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA",40.53079540,-3.64033205
"FRANKFURT'S STREET","CL EINSTEIN (DE) 6 BIS","28108","POLIGONO INDUSTRIAL","914905623","NO DISPONIBLE","info@frankfurtsmadrid.es","www.frankfurtsmadrid.es","EUGENIO GIL","","CHARCUTERIAS, JAMONERIAS Y SALCHICHERIAS","VENTA DE SALCHICHAS",40.53446548,-3.65386232
"FRATERNIDAD MUPRESPA","AV DOCTOR SEVERO OCHOA (DEL) 34 - TODO EL EDIFICIO","28100","CASCO URBANO","913606337","NO DISPONIBLE","pserrera@fraternidad.com","www.fraternidad.com","PEDRO LUIS SERRERA COBOS","","SERVICIOS MEDICOS","MUTUALIDAD",40.54326323,-3.65244556
"FREE TECHNOLOGYES EXCOM","AV VALDELAPARRA (DE) 27 -2ª PLANTA  OFICINA 4","28100","POLIGONO INDUSTRIAL","902020234 / 911437935","NO DISPONIBLE","info@excom.es","www.excom.es","NO DISPONIBLE","","INFORMATICA","PRODUCTOS INFORMATICOS Y DE TELECOMUNICACIONES. T ELEFONIA Y VIDEO IP, REDES INALAMBRICAS, NETWORKING, SOPORTE IT",40.53889230,-3.64696818
"FREEUNION","CR FUENCARRAL (DE) 44 PORTAL 5","28108","POLIGONO INDUSTRIAL","915466222","NO DISPONIBLE","freeunion@freeunion.es","www.freeunion.es","JAVIER RONCHEL","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","MARKETING Y EVENTOS",40.51888227,-3.65470622
"FRINOXCLIMA","CL JOSE ECHEGARAY (DE) 16 EDIF. A1, PLANTA 2ª, LOCAL 7","28100","PARQUE EMP. CASABLANCA","916636649  ,   639901223","916636649","frinoxclima@hotmail.com","NO DISPONIBLE","AMELIO DUQUE OLMO","","FRIO INDUSTRIAL","FRIO INDSUTRIAL, AIRE ACONDICIONADO , MAQUINARIA DE HOSTELERIA",40.54209400,-3.65461052
"FUNDACION GRUPO NORTE","CL JOSE ECHEGARAY (DE) 4 Esq. Avda. Doctor Servero Ochoa, 42. EDF. B-6","28100","PARQUE EMP. CASABLANCA","916610045 / 600501133","NO DISPONIBLE","recepcion.alcobendas@grupo-norte.es","www.grupo-norte.es","ALBA ROMAN GASCON","","ORGANISMOS PUBLICOS, EMPRESAS MUNICIPALES. FUNDACIONES","SERVICIOS SOCIALES",40.54190758,-3.65466022
"FUNDICIONES TRIGUERO","CL JULIAN LOPEZ SILVA (DE) - S/N","28108","POLIGONO INDUSTRIAL","916614392","916614447","administracion@funtrisa.com","www.fundicionestriguero.com","J. MANUEL SANTIAGO","","MEDIOAMBIENTE. RECUPERACION Y RECICLADO","RECUPERACION Y RECICLADO DE ZINC",40.53512627,-3.64411004
"FWNWICK IRIBARREN ARCHITECTS","CR FUENCARRAL (DE) - M-603 KM. 3,8 - EDIF. 2 - PLANTA BAJA - LOCAL E CAMPUS EMPRESARIAL ARBEA","28108","CAMPUS EMPRESARIAL ARBEA","915556836","915556853","a.silvela@fi-a.com","www.fenwickiribarren.com","SOPHIE RICHARDSON","","ESTUDIOS DE DELINEACION, ARQUITECTURA, LICENCIAS DE APERTURA, URBANISMO Y DISEÑO. INGENIERIAS, PROYECTOS","ARQUITECTURA",40.51888227,-3.65470622
